Deney,Toplam_Enerji_Birikimi_GeV,Emilen_Doz_nanoGy,Net_Notron_Sayisi,Toryum_Breeding_Th233,Fisyon_Olaylari,Kacak_Notron_Sayisi,Ortalama_Notron_Enerjisi_MeV,Notron_Verimi_Proton_Basina
Kucuk_Blok_10cm,17.8502,1.38941,702,80,4,1,0.527658,7.02
Buyuk_Blok_100cm,23.0196,0.000444308,1241,387,1,0,6.115042648648648,12.41
